county,unemployment,year
Shelby County,3.5,2020
Sioux County,2.6,2020
Story County,3.5,2020
Tama County,5,2020
Taylor County,3.6,2020
Union County,5.7,2020
Van Buren County,4.5,2020
Wapello County,5.9,2020
Warren County,4.5,2020
Washington County,4,2020
Wayne County,4.4,2020
Webster County,5.2,2020
Winnebago County,6.3,2020
Winneshiek County,4.8,2020
Woodbury County,5.2,2020
Worth County,5.3,2020
Wright County,3.9,2020
